concurrency,latency_ms
1,675.4655838012695
1,400.26211738586426
1,385.99157333374023
1,363.09361457824707
1,358.13283920288086
1,432.39474296569824
1,408.22553634643555
1,353.09767723083496
1,336.84349060058594
1,356.5409183502197
1,374.46117401123047
1,361.90247535705566
1,423.7518310546875
1,394.31262016296387
1,329.90550994873047
1,375.3247261047363
1,474.9596118927002
1,376.36542320251465
1,336.37022972106934
1,357.49125480651855
1,348.75988960266113
1,345.65067291259766
1,345.9160327911377
1,345.02553939819336
1,351.5357971191406
1,356.7969799041748
1,505.22708892822266
1,357.7249050140381
1,363.82365226745605
1,352.68473625183105
1,434.01193618774414
1,394.70672607421875
1,335.1409435272217
1,360.81862449645996
1,365.1728630065918
1,356.2607765197754
1,343.8253402709961
1,430.91893196105957
1,410.89916229248047
1,359.92431640625
1,356.8732738494873
1,451.5979290008545
1,390.9883499145508
1,355.9262752532959
1,347.8076457977295
1,362.98155784606934
1,352.61034965515137
1,359.97819900512695
1,437.0119571685791
1,389.6193504333496
1,356.5807342529297
1,368.4687614440918
1,450.2146244049072
1,384.4156265258789
1,355.6780815124512
1,359.480619430542
1,451.40576362609863
1,405.37166595458984
1,334.0647220611572
1,350.09193420410156
1,535.5916023254395
1,440.8228397369385
1,407.8333377838135
1,392.23313331604004
1,434.2961311340332
1,398.6196517944336
1,352.7183532714844
1,349.99561309814453
1,376.8951892852783
1,423.7222671508789
1,393.7044143676758
1,363.156795501709
1,351.0611057281494
1,446.9616413116455
1,398.96631240844727
1,351.0560989379883
1,373.11601638793945
1,433.8700771331787
1,397.355318069458
1,341.8707847595215
1,359.0068817138672
1,353.2841205596924
1,363.3086681365967
1,351.8996238708496
1,428.1296730041504
1,508.9573860168457
1,402.3134708404541
1,363.22522163391113
1,355.01599311828613
1,432.48486518859863
1,411.2570285797119
1,348.4787940979004
1,355.45825958251953
1,345.6385135650635
1,349.1935729980469
1,346.9047546386719
1,476.1393070220947
1,379.67705726623535
1,351.72510147094727
1,360.05496978759766
5,842.5805568695068
5,848.6752510070801
5,826.026201248169
5,847.8384017944336
5,954.8726081848145
5,642.6205635070801
5,710.1454734802246
5,703.1841278076172
5,714.4632339477539
5,571.5680122375488
5,390.58375358581543
5,512.9013061523438
5,552.5519847869873
5,591.2096500396729
5,574.8085975646973
5,354.4743061065674
5,549.0751266479492
5,526.2176990509033
5,573.6591815948486
5,570.1198577880859
5,492.51437187194824
5,500.00739097595215
5,476.9771099090576
5,530.7426452636719
5,537.6269817352295
5,511.6264820098877
5,515.4376029968262
5,514.6491527557373
5,486.3932132720947
5,568.1769847869873
5,568.8514709472656
5,457.2465419769287
5,533.2632064819336
5,530.2243232727051
5,617.4590587615967
5,599.879264831543
5,381.4728260040283
5,530.5330753326416
5,517.1089172363281
5,623.621940612793
5,681.3056468963623
5,712.2459411621094
5,361.5832328796387
5,516.3955688476562
5,518.6653137207031
5,641.8848037719727
5,655.4923057556152
5,511.81697845458984
5,788.6948585510254
5,800.4629611968994
5,728.7259101867676
5,656.362771987915
5,767.6022052764893
5,429.8059940338135
5,455.4929733276367
5,509.166955947876
5,594.7239398956299
5,663.304328918457
5,474.0467071533203
5,463.5190963745117
5,505.72943687438965
5,518.9721584320068
5,636.6512775421143
5,561.2003803253174
5,556.8780899047852
5,543.8680648803711
5,498.21019172668457
5,518.1484222412109
5,448.7805366516113
5,514.2397880554199
5,627.2222995758057
5,524.956226348877
5,514.30344581604
5,494.2169189453125
5,516.8235301971436
5,626.2574195861816
5,644.4659233093262
5,583.6746692657471
5,698.7130641937256
5,503.17978858947754
5,412.245512008667
5,508.88729095458984
5,571.0508823394775
5,551.5086650848389
5,554.0337562561035
5,360.0926399230957
5,484.7569465637207
5,546.4909076690674
5,610.1539134979248
5,450.64616203308105
5,599.6482372283936
5,379.57262992858887
5,482.12599754333496
5,535.0372791290283
5,499.15289878845215
5,517.2548294067383
5,398.8759517669678
5,419.48771476745605
5,473.24275970458984
5,472.761869430542
10,1372.373342514038
10,1390.380859375
10,1388.1580829620361
10,1352.7140617370605
10,1353.377342224121
10,1362.6949787139893
10,1397.2773551940918
10,1376.7526149749756
10,1399.5966911315918
10,1472.5487232208252
10,934.0252876281738
10,1019.8824405670166
10,1027.0893573760986
10,929.863691329956
10,990.6580448150635
10,983.8261604309082
10,1024.8684883117676
10,1051.3510704040527
10,1010.4925632476807
10,1002.5062561035156
10,820.6722736358643
10,960.4196548461914
10,1132.1139335632324
10,1238.4140491485596
10,1225.527048110962
10,1297.595739364624
10,1241.1677837371826
10,1269.8631286621094
10,1297.529697418213
10,1383.8489055633545
10,498.9008903503418
10,400.1455307006836
10,520.4343795776367
10,614.2628192901611
10,729.377269744873
10,997.4584579467773
10,1000.8373260498047
10,1009.3352794647217
10,1029.2339324951172
10,1045.6247329711914
10,1038.9318466186523
10,666.21994972229
10,972.0261096954346
10,516.6494846343994
10,736.6843223571777
10,836.4520072937012
10,918.3733463287354
10,900.6335735321045
10,918.7188148498535
10,942.2969818115234
10,1020.9798812866211
10,1004.3315887451172
10,895.2732086181641
10,737.1082305908203
10,776.2317657470703
10,526.1421203613281
10,1333.739995956421
10,1188.3108615875244
10,1468.947172164917
10,1518.2874202728271
10,1498.7874031066895
10,1549.6351718902588
10,1489.2237186431885
10,1141.1805152893066
10,1570.6830024719238
10,1502.6576519012451
10,611.907958984375
10,662.071704864502
10,897.4483013153076
10,1038.6922359466553
10,1078.622817993164
10,1053.415298461914
10,1068.3107376098633
10,1155.4174423217773
10,1122.7033138275146
10,1077.4669647216797
10,780.0793647766113
10,794.5277690887451
10,501.25718116760254
10,600.1036167144775
10,914.2217636108398
10,987.5662326812744
10,996.8705177307129
10,1009.8800659179688
10,1046.7822551727295
10,1032.9005718231201
10,978.2094955444336
10,955.2502632141113
10,820.7917213439941
10,642.768144607544
10,902.5721549987793
10,1046.616554260254
10,998.7947940826416
10,1091.7363166809082
10,1003.9057731628418
10,1043.1654453277588
10,998.7227916717529
10,1002.5348663330078
10,956.3426971435547
10,925.3509044647217
20,1904.491901397705
20,2006.3469409942627
20,2106.2633991241455
20,2090.1787281036377
20,2178.3108711242676
20,2213.926315307617
20,2355.038642883301
20,2372.9910850524902
20,2428.218126296997
20,2367.6235675811768
20,2429.7475814819336
20,2517.47989654541
20,2444.01216506958
20,2572.455883026123
20,2608.6795330047607
20,2621.3533878326416
20,2490.2257919311523
20,2558.255672454834
20,2621.9167709350586
20,2645.9078788757324
20,1035.5699062347412
20,1346.8313217163086
20,1859.3120574951172
20,1982.2893142700195
20,1893.1562900543213
20,1928.0874729156494
20,1667.3121452331543
20,1746.1788654327393
20,1733.5050106048584
20,1853.8084030151367
20,1766.266107559204
20,1836.5941047668457
20,1874.7835159301758
20,1722.4466800689697
20,1690.1073455810547
20,1701.9016742706299
20,1818.7501430511475
20,1707.4387073516846
20,1791.5668487548828
20,1385.5547904968262
20,1960.6575965881348
20,1226.919412612915
20,1168.2519912719727
20,1165.663480758667
20,1515.420913696289
20,1622.3244667053223
20,1697.3931789398193
20,1765.627145767212
20,1953.0279636383057
20,2001.9445419311523
20,2028.4333229064941
20,2088.376045227051
20,1870.208501815796
20,1927.3192882537842
20,1999.7234344482422
20,2123.9564418792725
20,2065.138578414917
20,1953.9966583251953
20,1890.3930187225342
20,1983.586072921753
20,2116.899013519287
20,2002.1324157714844
20,1452.2104263305664
20,1518.1376934051514
20,899.1429805755615
20,1567.0430660247803
20,1530.1902294158936
20,1506.0036182403564
20,1713.1052017211914
20,2345.731735229492
20,2295.8226203918457
20,2362.443685531616
20,2529.0002822875977
20,2268.2435512542725
20,2428.8368225097656
20,2431.7283630371094
20,1877.4702548980713
20,2518.4671878814697
20,2735.4483604431152
20,2715.8777713775635
20,2373.523712158203
20,2743.5734272003174
20,2616.6558265686035
20,2608.567953109741
20,1957.728624343872
20,736.2978458404541
20,2604.1064262390137
20,2190.6142234802246
20,2043.6327457427979
20,1517.8642272949219
20,1322.075366973877
20,1325.9754180908203
20,1460.3142738342285
20,1313.82417678833
20,1461.333990097046
20,1487.015724182129
20,1250.0205039978027
20,1356.3272953033447
20,1352.8978824615479
20,1440.183162689209
40,3203.204393386841
40,3247.8973865509033
40,3343.5277938842773
40,3514.3988132476807
40,3787.057399749756
40,3641.7367458343506
40,3951.7459869384766
40,4096.26579284668
40,4039.252519607544
40,4433.847665786743
40,4146.975040435791
40,4325.502157211304
40,3888.6168003082275
40,4177.6275634765625
40,4473.511457443237
40,4723.498344421387
40,4286.872148513794
40,4382.657766342163
40,4950.624227523804
40,4723.086595535278
40,4664.350509643555
40,4313.509702682495
40,5109.6227169036865
40,4489.375591278076
40,4827.312231063843
40,5092.823266983032
40,4254.328012466431
40,5220.09015083313
40,4483.979940414429
40,4638.981580734253
40,5130.223274230957
40,5263.670921325684
40,5055.133819580078
40,4824.785232543945
40,5365.356922149658
40,4416.847467422485
40,5292.318820953369
40,5156.339168548584
40,5126.278877258301
40,4999.5105266571045
40,3150.1357555389404
40,2377.6462078094482
40,2587.5792503356934
40,2635.669231414795
40,2550.307273864746
40,3094.851016998291
40,3069.64111328125
40,3107.9940795898438
40,2527.354955673218
40,3064.394474029541
40,3190.4478073120117
40,3705.350160598755
40,4522.237300872803
40,4546.271324157715
40,4946.858167648315
40,4501.531362533569
40,4069.6263313293457
40,4841.879367828369
40,4928.654670715332
40,5676.1956214904785
40,5160.793781280518
40,4590.4741287231445
40,5700.704097747803
40,5220.678091049194
40,5551.781177520752
40,4105.571985244751
40,5351.1598110198975
40,4439.446687698364
40,5372.429609298706
40,4662.597894668579
40,4953.968048095703
40,5337.607145309448
40,5275.13575553894
40,5552.417039871216
40,5902.058124542236
40,6472.160339355469
40,5035.959959030151
40,4277.3871421813965
40,4251.014947891235
40,4533.858299255371
40,4479.89821434021
40,4448.799610137939
40,4252.138614654541
40,5503.840684890747
40,5226.663589477539
40,4800.596475601196
40,4794.57426071167
40,5627.5341510772705
40,5295.630931854248
40,3820.711612701416
40,2435.298204421997
40,4284.43717956543
40,2085.6733322143555
40,2458.833932876587
40,1885.390281677246
40,1885.4024410247803
40,1767.1561241149902
40,1967.8444862365723
40,1862.4134063720703
40,1614.0553951263428
80,5244.115829467773
80,4994.008779525757
80,5735.954523086548
80,5494.836330413818
80,5251.453399658203
80,5740.898370742798
80,7108.1719398498535
80,3678.7867546081543
80,5227.421045303345
80,5524.095296859741
80,5847.55802154541
80,7619.894742965698
80,7038.785457611084
80,7525.996208190918
80,7286.612749099731
80,7311.668634414673
80,7288.475275039673
80,6574.557542800903
80,8005.232810974121
80,8542.223691940308
80,8037.155389785767
80,7590.345144271851
80,8159.373760223389
80,8306.401014328003
80,9527.450323104858
80,10105.321884155273
80,8877.741575241089
80,10078.357696533203
80,8879.71568107605
80,8992.269515991211
80,8502.008199691772
80,6706.858158111572
80,9554.620742797852
80,9483.423471450806
80,6761.531352996826
80,10462.015390396118
80,10408.864498138428
80,8142.256498336792
80,8764.981508255005
80,8025.040864944458
80,7732.383728027344
80,8794.154167175293
80,8041.035413742065
80,10290.299654006958
80,8539.96729850769
80,10459.886074066162
80,5324.950218200684
80,6921.486139297485
80,10351.027965545654
80,8655.279397964478
80,9436.087846755981
80,9443.18413734436
80,10992.556810379028
80,8699.262142181396
80,8692.4467086792
80,9560.339212417603
80,8788.03277015686
80,10531.563520431519
80,7348.581790924072
80,5524.322748184204
80,8582.137107849121
80,5624.978065490723
80,8925.641775131226
80,8448.496103286743
80,7831.756591796875
80,8787.505865097046
80,5547.891139984131
80,7087.453126907349
80,5193.530321121216
80,7318.996429443359
80,10051.194906234741
80,6022.457838058472
80,10316.069602966309
80,9823.877096176147
80,10163.434743881226
80,4368.751764297485
80,5973.899841308594
80,10760.480880737305
80,10234.231233596802
80,10177.590370178223
80,10784.82174873352
80,3892.620325088501
80,8138.616561889648
80,4254.546403884888
80,7191.076993942261
80,4294.3785190582275
80,5889.760732650757
80,2014.7678852081299
80,1976.3400554656982
80,4066.4753913879395
80,4638.463020324707
80,4172.811031341553
80,4232.0311069488525
80,2247.955560684204
80,4203.648090362549
80,4540.909290313721
80,4560.182571411133
80,3045.8245277404785
80,4453.72748374939
80,4720.824241638184
